ID,Gender,Age,Extra_Curricular,Study_Hours,Annual_Income,Distance_From_Home,GPA
9256,Female,21,Sports,5,1066563,8,1.25
8684,Male,23,No,6,243630,39,2.11
5799,Male,24,Sports,11,318621,25,1.98
4913,Male,21,Sports,11,1934210,96,3.66
8191,Female,25,Societies,8,1934872,58,3.45
1346,Male,23,Societies,6,1506666,57,1.29
8797,Male,22,No,5,100500,31,3.78
7272,Female,21,Societies,10,1687575,39,3.87
2914,Male,21,No,13,1343354,33,3.49
9622,Female,24,Sports,7,436403,33,3.69
2693,Female,24,Societies,13,701961,10,1.05
7367,Male,24,Societies,5,332181,97,3.63
7158,Male,27,Societies,7,1226109,158,3.72
7295,Male,25,No,6,1207373,16,3.62
1990,Female,24,Sports,5,1706602,29,3.89
1370,Female,25,Societies,15,421319,9,4
1808,Male,23,Societies,10,681865,84,3.12
7155,Male,27,No,12,1535637,169,1.71
1596,Female,26,No,15,645093,128,2.41
9901,Female,24,Sports,9,1488157,97,3.85
6475,Male,21,Societies,7,1098997,7,1.49
3928,Male,26,Sports,8,1745881,118,2.71
4389,Male,24,No,8,1994999,39,1.82
5285,Male,24,Sports,11,989311,194,1.58
9222,Female,22,Sports,5,633816,138,3.31
6039,Female,27,Societies,6,762795,32,1.86
4771,Male,27,Sports,14,474973,168,1.55
9874,Female,26,Societies,10,263413,196,1.14
5753,Male,21,No,15,286910,142,3.41
7518,Female,27,No,11,1136953,137,3.58
2132,Female,21,Societies,11,178188,114,2.76
1719,Female,21,No,12,1971881,100,3.69
3993,Female,22,Societies,5,1960033,12,2.11
3471,Female,25,Sports,13,930994,182,3.62
8940,Male,21,Sports,9,1073969,14,3.1
6118,Male,22,No,8,661625,89,3.93
9982,Female,27,No,13,1166616,181,1.66
5397,Female,26,No,11,235011,35,2.36
1581,Female,23,Societies,15,550689,109,1.4
8832,Female,24,No,12,923260,42,3.41
4267,Male,24,Sports,5,158664,102,3.11
5326,Female,26,Societies,9,184080,75,2.53
1487,Female,25,Societies,10,357149,158,2.4
9941,Male,25,Societies,8,1552325,15,2.1
1168,Male,22,No,13,1878751,105,2.54
1401,Female,21,Societies,10,1138558,52,1.94
1410,Female,27,No,11,458675,17,2.13
5047,Male,22,Societies,7,1995471,130,1.33
1604,Male,22,Societies,11,1595229,200,3.37
5472,Male,23,Sports,11,1271799,32,3
7824,Female,27,Sports,9,1648587,33,3.52
2231,Female,26,Sports,14,1602311,146,1.44
1884,Female,24,No,10,1080036,75,2.56
8966,Male,23,Societies,10,1989883,99,3.07
5229,Female,24,Sports,11,1795593,148,2.3
3273,Female,23,Societies,10,488927,66,2.41
8605,Male,22,Sports,10,634575,66,2.25
6878,Male,25,Societies,7,694279,27,3.63
4330,Male,23,Societies,14,1430000,107,3.32
8121,Female,24,Sports,10,339609,81,3.01
4627,Female,27,Societies,10,286068,191,2.41
9188,Female,21,Societies,7,518967,81,1.42
3987,Male,22,No,11,708525,88,3.95
6832,Female,27,Sports,11,993025,174,2.57
9974,Male,24,Sports,15,963719,20,2.21
3843,Male,22,Sports,14,429002,80,1.07
3111,Male,25,Sports,15,1637977,143,3.79
1050,Male,24,Societies,9,988215,161,1.27
9052,Male,21,No,9,1147319,131,1.82
5461,Male,23,Sports,8,1422896,197,3.44
8732,Female,25,Societies,10,1820365,132,2.25
3988,Male,22,Sports,9,1816386,34,3.71
4421,Female,24,No,5,1606267,132,1.85
7779,Female,22,Sports,14,118035,78,2.05
2033,Female,22,Sports,9,934166,30,2.37
8875,Female,23,No,10,303782,158,2
8694,Female,23,Societies,10,1360739,187,3.85
1441,Male,21,No,5,1435079,181,1.94
7505,Male,24,Sports,12,1938756,17,1.45
5681,Male,27,No,8,1986661,116,2.84
4408,Male,25,No,12,227266,86,1.13
2389,Male,23,Sports,13,331492,16,3.88
9294,Male,22,Societies,9,1535280,112,2.85
8280,Female,21,No,12,403164,72,1.49
2050,Male,24,No,15,710116,82,2.05
5227,Male,26,No,7,1883068,45,3.94
7948,Male,21,Sports,9,193327,165,2.43
6786,Female,24,Societies,5,239323,81,3.53
1358,Female,21,Societies,12,195149,23,1.49
4093,Female,22,No,9,1809631,117,2.15
4612,Male,22,Sports,6,290794,90,2.26
8774,Male,22,No,14,304028,74,1.15
5923,Male,21,Sports,8,563321,42,1.4
1691,Female,24,Sports,15,123391,200,2.91
7386,Female,25,Societies,12,1411099,40,2.72
8285,Male,21,Societies,15,629042,114,3.68
5867,Male,21,No,6,665898,35,3.89
9252,Male,24,No,12,1855124,45,3.32
3731,Female,21,No,7,1900608,200,1.53
7552,Male,27,Sports,7,1099349,97,3.34
3350,Female,21,No,13,1350024,149,1.02
4598,Male,21,Societies,10,1003204,49,1.58
5996,Female,26,Sports,14,1725442,33,1.17
3958,Male,26,Sports,5,1300620,171,1.5
7195,Female,24,Societies,9,1530893,82,2.41
4653,Male,25,Sports,7,941546,119,3.72
6712,Female,24,Societies,9,1601116,167,2.77
9740,Female,27,Sports,5,1978751,27,2.77
4600,Male,25,Societies,5,1351786,106,1.88
6431,Male,23,No,5,1540107,122,1.35
3893,Female,24,Societies,10,1104843,111,1.08
8914,Female,23,Societies,14,1274658,84,3.59
1782,Female,21,Sports,8,1100179,56,3.26
6527,Female,23,No,5,361557,70,1.17
6063,Male,21,No,10,1179546,45,3.77
6171,Male,24,Societies,8,779642,150,3.38
7015,Female,27,Sports,13,513783,111,2.71
6608,Female,22,Sports,13,271901,137,1.11
1737,Female,25,No,10,1080056,89,3.75
8490,Male,24,No,11,519573,153,2.26
7377,Male,26,No,14,1145159,192,1.99
8316,Female,27,Sports,13,541948,74,1.21
9258,Male,26,Sports,15,271568,16,1.46
3387,Male,25,No,9,425142,140,2.62
7861,Male,21,Sports,9,1587344,109,3.15
5575,Male,26,No,10,513087,111,2.16
1588,Male,22,Societies,9,577169,119,2.6
4268,Male,24,Sports,5,927231,6,1.21
8511,Female,21,No,13,1814863,111,2.39
2842,Female,27,Sports,10,1709843,98,3.13
5336,Male,25,Sports,9,917302,108,1.36
3717,Female,23,Societies,13,1858806,67,3.92
6149,Female,27,Societies,12,1833478,68,3.14
5394,Male,24,Sports,10,805746,96,1.13
5154,Female,24,No,11,1780301,37,2.73
9890,Male,22,Societies,15,1880004,119,1.79
9582,Male,27,Societies,13,1873813,32,1.1
9661,Male,24,No,9,1764153,33,1.64
1571,Female,22,Sports,10,171005,117,3.11
1338,Female,23,Sports,13,1864091,37,3.5
8702,Female,24,Sports,6,1209355,168,2.14
5161,Female,24,Societies,6,1795711,145,1.93
3963,Female,24,Societies,14,1328499,168,2.88
2972,Male,26,Sports,7,1190447,67,1.15
2891,Female,26,Societies,13,548031,113,2.27
3225,Female,26,Sports,5,115141,47,1.88
3106,Male,24,No,10,795579,104,2.36
2854,Female,25,No,14,1299322,114,1.23
8848,Male,25,No,7,537408,21,1.84
2629,Male,27,No,5,366021,88,1.97
2933,Male,24,Sports,9,1158095,84,1.53
7935,Male,24,Sports,6,1016568,75,1.53
1205,Female,22,Societies,9,796681,174,1.07
3683,Male,23,No,9,1721311,57,1.7
6339,Female,22,No,5,388006,83,1.05
5345,Female,26,Societies,5,1177645,122,2.08
4788,Female,24,Societies,7,302914,76,3.92
8003,Male,23,No,9,1273720,155,1.62
3025,Female,26,Sports,9,1991584,66,3.62
9852,Female,24,Societies,5,1745479,141,1.33
2022,Male,21,Societies,6,1570151,91,2.43
5490,Male,23,No,15,547893,56,2.2
2524,Male,26,Sports,9,530921,21,3.87
2211,Male,21,Sports,10,1942205,13,1.84
2214,Male,21,No,11,621261,146,2.45
7487,Female,25,No,10,742068,44,3.05
2357,Female,26,Societies,14,1212900,101,2.36
8629,Male,23,No,14,784865,28,1.95
6952,Female,25,No,7,1481456,158,1.18
6774,Male,23,Sports,7,909604,144,2.84
7410,Male,25,No,5,1700587,42,2.14
3863,Male,23,No,13,1651607,156,2.06
5319,Male,21,Societies,7,1151363,192,1.48
7332,Female,25,No,10,1701306,167,2.18
2775,Female,25,Sports,12,1403301,57,3.77
1045,Female,21,No,12,838560,104,3.46
8898,Male,21,No,11,1627475,34,1.17
3149,Male,21,No,5,1367816,11,3.46
4983,Female,23,Societies,6,528233,96,2.6
5423,Male,26,No,14,1688417,200,3.71
2245,Female,22,No,6,949478,5,1.79
9162,Male,27,Societies,14,882984,34,1.58
9374,Male,24,No,13,671030,157,2.4
2030,Male,25,No,15,1062009,104,2.1
8083,Female,24,Societies,14,1672564,96,2.76
2936,Male,25,No,9,740839,64,2.76
7400,Male,27,Sports,14,1276401,66,1.7
3543,Male,26,Sports,11,1397752,59,2.23
3347,Male,23,Societies,12,387218,91,2.65
3572,Female,22,Sports,10,663420,191,2.12
7125,Female,22,Sports,7,1541458,124,1.75
5892,Male,22,Societies,15,1870497,189,2.98
2630,Female,22,Societies,15,420135,76,3.54
9728,Female,24,Societies,5,891921,10,3.66
4740,Male,23,Societies,15,989819,51,1.69
9836,Female,27,Societies,7,934432,22,3.77
3837,Female,23,Societies,7,768951,21,1.34
5479,Male,25,No,10,1661443,24,1.35
9791,Female,23,Sports,11,596386,133,1.58
5529,Female,26,Sports,5,1961242,98,3.7
5261,Male,21,Societies,8,1389674,147,3.95
2356,Male,27,No,9,1348483,123,3.44
2374,Female,22,No,8,1174008,77,2.53
1626,Female,21,Societies,11,1963752,142,3.68
3255,Female,26,Societies,13,1095364,186,3.83
9560,Male,24,Sports,14,749694,94,2.92
3428,Male,22,No,7,564403,133,1.76
4790,Female,21,Societies,14,1408204,146,1.03
9028,Male,25,Sports,8,401372,188,1.22
4731,Male,22,Sports,5,1029357,22,1.21
9465,Male,24,Sports,5,1382490,50,1.87
8840,Female,22,Sports,15,1974317,9,3.5
4706,Male,23,Sports,13,1495551,47,2.79
8017,Female,26,Societies,8,840871,44,1.96
4262,Male,27,Societies,9,1497599,32,1.13
6698,Female,22,Societies,14,1992812,24,3.69
9476,Female,23,Sports,5,1495918,146,1.77
1664,Female,23,Sports,7,1375468,138,2.48
4846,Male,23,Sports,15,922114,125,1.77
9922,Female,24,Societies,13,1084916,10,1.35
9674,Female,21,Societies,13,226542,154,3.01
8680,Female,26,Societies,9,711675,77,2.43
4694,Male,23,Sports,5,139906,36,2.1
9637,Female,27,Societies,11,553383,39,1.63
6783,Male,24,No,8,693576,110,3.78
1543,Male,23,Sports,8,1032401,113,2.77
2833,Male,27,Sports,11,1140129,9,1.12
7587,Male,25,Societies,9,665674,109,1.28
4201,Male,23,Societies,7,1384294,154,3.61
2734,Female,21,Sports,14,1444123,36,3.09
2118,Female,26,Sports,11,308169,32,2.72
8747,Male,21,No,9,1730965,122,2.44
7692,Male,26,No,15,307588,167,2.09
4640,Male,26,No,8,1049432,86,3.48
2815,Male,22,Sports,6,361987,90,2.74
6771,Male,21,Sports,9,1202786,169,3.96
7892,Male,24,Sports,12,1504557,60,3.61
8535,Female,26,No,11,1371373,141,2.16
3537,Male,26,Societies,15,332428,75,2.46
8221,Female,26,Societies,6,282492,74,3.37
2984,Male,26,No,5,1660802,191,3.13
9475,Female,25,Sports,14,1279085,121,3.08
8945,Male,21,Societies,11,562557,73,1
8270,Male,24,Sports,8,1201606,86,1.06
5637,Male,25,No,10,925761,177,3.45
3169,Female,25,No,8,1675694,66,1.2
8587,Male,27,Sports,9,815521,195,3.75
6136,Male,22,Sports,9,1434537,5,1.87
8611,Female,21,Societies,6,466717,98,1.13
3423,Female,22,Sports,6,646273,184,2.1
7000,Male,21,No,8,1336374,137,2.66
6420,Male,26,No,13,1700421,82,2.98
2366,Male,27,Societies,7,1849151,80,1.16
1774,Male,24,Sports,6,789174,185,2.61
2966,Female,23,Sports,15,1196148,120,3.42
6981,Male,21,Societies,14,733413,192,2.43
8430,Female,25,No,10,1879493,192,2.08
8356,Female,21,Societies,6,316256,25,3.23
2074,Male,23,No,5,1871539,42,2.82
8414,Male,26,Sports,5,1844308,150,3.3
1606,Female,23,Societies,5,221240,79,1.89
4681,Male,24,Sports,9,1484120,77,1.87
1413,Female,25,Sports,12,1020687,87,2.69
9670,Male,27,Sports,8,1690366,185,1.47
5642,Female,22,Societies,10,1805963,55,3.83
3355,Male,22,Sports,10,1114115,83,2.09
8192,Male,26,No,15,331839,116,3.34
6223,Female,27,Societies,9,666148,121,1.77
2469,Female,21,No,10,221738,128,1.16
9835,Male,24,No,5,1998360,106,1.51
7777,Male,27,Societies,8,952201,76,2.46
6284,Female,21,No,15,393884,149,2.31
2320,Female,26,Societies,5,812491,144,3.2
5931,Male,23,Societies,8,318019,7,2.16
7273,Male,25,Societies,10,139024,79,3.92
1579,Male,22,Sports,13,1807968,105,2.78
3307,Male,22,No,13,1161807,113,1.46
5240,Female,21,No,13,870639,110,2.98
2906,Male,22,Societies,6,1177629,11,3.5
6141,Female,24,No,6,1610560,191,3.89
9863,Male,22,Societies,10,630445,24,2.44
6663,Female,27,No,9,243716,116,3.92
6218,Female,23,Sports,7,1631286,33,3.93
5751,Female,25,No,13,1336917,86,3.38
8705,Male,21,Societies,11,1214634,61,2.65
9976,Female,23,Societies,11,183513,125,3.63
3771,Male,22,No,15,1623347,134,2.47
1699,Female,23,Societies,6,748775,85,1.62
2053,Male,21,Societies,5,1039796,193,2.64
8641,Female,27,No,6,494359,101,1.08
1667,Female,22,Societies,12,983659,61,3.86
4081,Male,26,Sports,12,1302039,84,3.73
5981,Female,25,Sports,11,203747,45,1.24
8326,Female,22,Societies,10,991642,49,1.68
4682,Male,24,Societies,12,1525819,35,1.88
1189,Female,26,Sports,13,943378,154,2.36
3162,Female,23,Societies,12,471544,180,2.91
9420,Male,26,Sports,14,693166,40,1.56
5186,Female,24,Sports,14,1705718,194,1.45
2152,Male,22,Societies,9,1218704,44,3.15
1332,Female,25,Sports,10,860367,95,3.22
4205,Male,24,No,12,1705802,75,2.11
8339,Male,26,No,15,1811711,101,3.68
7466,Male,26,Sports,11,1605399,133,2.53
4352,Female,26,Societies,9,1680573,14,3.43
5918,Male,21,Sports,5,1052988,121,2.21
5075,Male,25,Sports,10,877721,109,3.09
2931,Female,24,Sports,14,1796609,101,1.28
8887,Male,23,Sports,15,154924,14,2.03
1075,Female,21,No,7,691271,78,1.79
8265,Male,25,Sports,11,1274688,92,2.96
5228,Male,21,Societies,14,1648742,65,3.99
4538,Male,24,Sports,5,1704422,141,1.26
2542,Male,26,No,5,1487588,160,2.79
7918,Male,27,Societies,9,982587,110,3.86
1012,Male,23,No,11,754167,60,1.77
1888,Male,27,Societies,8,1117710,106,2.11
3793,Female,25,Societies,14,1056927,49,2.17
7265,Male,21,Societies,15,1399780,35,2.73
6388,Male,26,Societies,7,1496550,61,2.74
2974,Male,26,Societies,8,946966,104,2.43
3142,Female,27,Societies,5,1755017,65,2.84
9080,Male,24,No,8,134026,131,2.86
4997,Male,21,Societies,8,860609,71,3.33
7695,Female,24,No,5,863909,55,1.85
6341,Female,22,No,15,1208774,141,1.29
6144,Female,23,Sports,9,933499,30,3.23
9979,Male,22,Sports,8,1416546,158,3.49
6391,Female,22,Sports,8,307996,76,2.27
8328,Female,23,No,12,1342919,44,2.17
2643,Male,26,Sports,6,257259,86,3.91
4839,Male,27,Societies,5,1586239,50,2.35
7551,Female,27,Societies,11,1694815,187,1.18
9148,Female,24,Sports,13,725545,93,2.25
5594,Male,25,Societies,9,735784,128,1.65
9419,Female,21,Sports,12,671559,128,1.98
7929,Male,27,Societies,11,1837459,141,3.2
8897,Female,22,Sports,12,1704170,109,3.07
7352,Male,27,Sports,7,1131650,78,3.95
4136,Male,25,Societies,7,1091948,110,2.26
7770,Female,22,Sports,7,869933,105,3.65
3328,Female,22,No,6,243382,94,3.51
5969,Male,26,Sports,13,291485,96,3.38
6470,Male,22,Sports,11,1010950,7,1.95
6961,Male,24,No,9,622537,23,3.78
5721,Male,27,Societies,13,1944445,178,2.66
9776,Male,21,Societies,6,737240,188,2.4
1614,Male,22,No,13,210642,173,2.52
3416,Female,21,Sports,12,885998,15,2.26
7704,Female,22,No,13,116884,54,2.92
1516,Female,27,No,5,1441724,86,2.5
9825,Female,25,Societies,15,782105,143,2.81
8578,Female,25,Societies,12,674642,189,2.83
6280,Female,26,No,14,1006527,189,3.23
8220,Male,26,Sports,6,724101,132,2.7
4971,Male,23,Sports,8,1582309,117,3.23
2968,Male,23,No,13,725543,28,1.45
2976,Female,24,No,8,193427,137,2.22
8592,Female,27,Societies,6,1653326,193,3.82
2414,Male,27,Sports,5,273445,132,1.01
5584,Male,23,Sports,6,794247,62,1.67
2368,Male,23,Societies,8,1052007,48,2.87
2176,Male,24,Sports,15,1384833,105,2.5
9193,Female,22,Societies,13,1452918,171,3.41
5962,Male,23,Societies,10,1281759,53,1.12
9391,Male,25,No,10,1654765,38,3.54
8878,Female,27,No,11,1840855,97,2.62
7963,Male,27,No,13,210344,161,2.94
5760,Male,23,Sports,7,1967568,42,2.03
2384,Female,22,Societies,14,985905,155,2.43
4605,Female,23,Societies,9,1555931,102,1.39
9765,Male,27,Sports,14,1334503,70,2.55
2703,Female,25,Sports,5,1069237,48,3.55
4110,Female,23,Sports,15,448013,189,1.87
8330,Female,22,No,12,207483,189,1.01
4227,Male,23,Sports,13,316955,81,1.13
6655,Female,25,Sports,10,506707,73,1.57
9444,Female,27,Sports,8,1709698,147,1.27
8125,Female,22,Societies,6,411196,163,2.28
7127,Male,27,Societies,7,536674,51,3.01
8745,Female,21,No,13,809270,155,1.97
4540,Female,22,Societies,15,1898083,90,2.6
7116,Male,23,Sports,12,1269665,34,1.4
5950,Male,22,Sports,10,1845615,53,3.41
3075,Male,25,No,9,1769020,133,2.79
7255,Female,23,Societies,14,954509,104,2.1
7721,Female,27,Societies,6,277899,139,2.03
6518,Female,22,Societies,9,391746,25,2.64
5875,Female,25,No,7,366168,17,1.58
4673,Male,21,Sports,7,132737,53,1.93
1592,Male,21,No,8,770981,187,1.62
6334,Female,25,Societies,13,1598346,105,1.31
3242,Male,23,Sports,7,1834343,144,3.11
1067,Female,25,Sports,5,923973,23,3.92
9600,Female,22,Societies,12,457928,37,2.2
3486,Male,24,Sports,10,1955927,174,2.02
4943,Female,23,No,12,1923183,111,2.27
8551,Female,24,No,5,1955000,161,2.88
5436,Male,22,No,8,1383251,118,1.31
6037,Female,27,No,14,417289,17,2.92
6454,Male,24,Sports,8,1167508,46,3.35
8498,Male,24,No,8,1110065,108,3.7
8907,Male,22,Sports,14,548391,121,1.85
4014,Male,26,Societies,8,998731,89,2.04
3788,Female,22,Societies,6,189838,197,1.8
2258,Female,24,No,13,1983701,6,2.23
3374,Male,21,Societies,8,450468,81,2.98
2403,Male,23,Sports,5,1927671,122,2.1
2397,Female,25,Societies,8,1877974,200,2.15
5207,Male,25,Societies,5,929074,33,3.48
8642,Male,26,No,9,144753,85,2.83
1758,Male,27,No,10,509580,11,1.81
7547,Male,26,Societies,7,1140246,125,1.2
8155,Male,22,Societies,8,1753060,84,1.57
2873,Male,21,No,8,1073448,14,2.26
5909,Female,26,Societies,13,331403,73,2.07
1078,Male,22,No,11,1019720,110,1.96
3981,Female,22,Societies,12,1580208,25,3.12
6638,Female,26,Sports,6,1135478,33,3.43
8236,Female,22,Sports,12,1884174,126,2.63
6232,Male,27,No,8,1912984,190,1.3
5810,Female,25,Societies,5,1321095,98,3.56
3026,Male,27,Sports,14,1329469,86,3.17
4094,Female,25,Sports,15,758569,145,2.57
9434,Male,21,No,10,1282209,151,1.52
1340,Female,27,Sports,5,1128950,139,1.54
7137,Female,21,Societies,15,201048,122,2.3
1672,Male,23,No,13,1088262,64,3.6
4080,Female,26,Sports,5,660503,134,3.04
3438,Male,21,Sports,6,1184000,20,3.46
7835,Female,25,Sports,15,784665,67,2.98
3665,Female,26,No,6,1259955,171,1.34
2496,Female,25,Societies,11,1706484,80,2.27
5797,Male,21,Sports,12,1632434,30,2.86
6922,Female,26,Sports,13,1111110,122,2.34
1833,Female,23,Societies,9,1044160,60,2.04
8261,Male,23,No,15,248267,165,1.27
1375,Male,26,Societies,7,1388571,34,3.99
6294,Male,22,No,15,1795371,149,1.38
2929,Male,22,Sports,6,472522,183,1.32
1112,Male,24,Societies,9,1944238,12,3.15
8435,Male,27,Sports,11,1902442,18,1
4042,Male,23,Sports,13,1051964,41,1.99
2952,Female,21,No,13,1216329,172,2.72
2169,Male,21,No,13,600182,19,2.2
5613,Female,21,Societies,11,1930273,182,2.9
2753,Female,27,No,11,1437900,117,3.48
4725,Male,27,Sports,11,1413966,134,2.82
7897,Female,22,Societies,11,1974955,125,1.36
2977,Female,26,Sports,12,1498319,133,1.34
6847,Male,22,Societies,6,557023,99,1.74
2244,Male,27,Sports,10,1819455,40,1.79
7348,Male,23,No,12,1356452,104,3.33
2961,Female,25,Sports,8,1017014,68,2.58
5327,Male,25,No,5,1124362,20,1.26
2013,Male,24,No,7,546251,157,1.66
2447,Male,27,No,6,359970,59,1.31
7475,Male,25,Sports,15,1377546,91,2.66
8952,Male,22,Sports,5,1176778,142,1.83
4964,Male,22,No,15,1471196,191,1.54
2173,Female,21,Societies,8,600838,127,1.49
5485,Female,27,Societies,13,1318262,196,2.35
9185,Male,24,Sports,9,917025,132,3.16
4778,Female,23,Sports,5,1106969,127,2.55
4017,Female,24,Societies,7,626642,96,2.57
4273,Female,23,No,12,609341,69,1.57
6850,Male,25,Societies,15,1341979,138,2.97
5628,Female,22,No,14,530909,122,3.12
1687,Male,24,Sports,9,1420969,101,3
5278,Male,25,Societies,8,251535,155,1.42
7304,Female,26,Societies,10,698901,181,2.69
3725,Female,21,Sports,5,442173,187,3.76
4690,Female,24,Societies,11,1884840,97,3.55
8107,Male,23,No,14,738690,68,3.98
1995,Female,26,No,12,459848,149,3.75
7794,Male,21,No,9,1595967,89,3.84
8733,Female,25,Societies,8,1406392,55,3.21
9931,Male,25,Societies,11,1574451,129,3.81
7270,Female,25,Sports,10,920200,142,1.58
5080,Female,25,No,11,1733451,119,1.52
2202,Female,22,No,6,1764223,67,1.06
4905,Male,26,No,7,925678,53,2.27
7965,Female,21,Sports,11,1082546,166,1.59
6441,Female,22,No,14,914306,112,1.05
4129,Male,26,Societies,15,1743837,65,2.37
7837,Male,21,Sports,15,211862,81,3.3
4190,Female,26,Sports,8,359170,59,2.85
2085,Female,27,Sports,15,1774946,181,1.38
5072,Male,25,Societies,15,1412232,47,1.66
4045,Female,21,No,12,1714959,98,2.49
9754,Female,25,No,6,1877391,73,2.19
1578,Male,27,No,5,367022,19,2.59
9105,Male,24,Societies,11,1445399,130,1.4
3540,Male,21,Sports,5,1028447,195,3.59
9950,Male,23,Societies,9,354673,94,1.5
5937,Male,25,Societies,12,346274,21,3.93
3684,Male,24,Societies,15,1502555,184,2.37
4256,Male,24,Societies,10,1825142,25,3.4
5129,Female,22,No,5,1675219,27,2.32
2365,Male,24,No,8,947439,125,2.7
5140,Male,26,Sports,6,1912975,67,1.36
4976,Male,22,Societies,12,341543,86,1.88
6398,Male,23,No,12,975142,87,3.36
